when,job,item_id,name,was_before_auto_complete,current_status,still_complete
2026-07-27 10:35:19,PROJ0002347,3083612475,LON32 | Dissemble Of Shelving units & booths | 03-102,Approved,Project In Progress,no (already changed)
2026-07-27 12:50:15,PROJ0002328,3110182558,LON71 | 6x Filing Cabinets | 07-106,Lost/Not Progressed,Complete,YES
2026-07-27 12:50:15,PROJ0002221,3086558648,Request #11986892 General Inquiries- Floor: 3350,Quoted,Complete,YES
2026-07-27 14:37:21,RE0025576,3089341530,LON44 | Drain Cleaning All Showers,Quoted,Quoted,no (already changed)
2026-07-27 14:50:17,PROJ0001455,2840404536,LON17 | 3rd | LED pantry,Project In Progress,Complete,YES
2026-07-27 16:20:19,PROJ0002354,3100890177,"Wellness Rm, 7th Floor - Kitchen joinery alteration",Project In Progress,Complete,YES
2026-07-27 17:35:13,PROJ0002324,3101352809,LON32| 2nd Floor | Floor Sockets Plates| Risen,Project In Progress,Complete,YES
2026-07-27 17:35:13,PROJ0001800,2979693120,LON20 | 05w118 | Soundproofing board,Project In Progress,Complete,YES
2026-07-28 08:35:55,PROJ0002312,3103965157,LON40 | Projects | 2F | 02-W108 | Dismantle table & relocation,To Schedule,Complete,YES
2026-07-28 08:35:55,RE0025855,3117025355,LON28 | TV on Wheels,To Schedule,Complete,YES
2026-07-28 08:35:55,PROJ0002348,3110182557,LON11 | Member Paid Job | 3.069,Quoted,Complete,YES
2026-07-28 08:35:55,RE0026111,3117058646,LON50 | Mitre Entrance | Carpet Change,Lost/Not Progressed,Complete,YES
2026-07-28 08:35:55,PROJ0002041,3040736199,LON23 | 1st | Member Paid | Labour Request,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002314,3103965282,LON85 | Build two bookcases,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002264,3096592571,LON25| TV| LG-105,Approved,Complete,YES
2026-07-28 08:35:55,RE0023762,3101322162,LON85 | Sub Basement | Bike Storage | Door Broken,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002287,3099978527,LON06 | Panel Removal Quote | 02-103/02-102,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002309,3103965070,LON31 | Desk Assembly and transfer,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002337,3110173235,LON44 | Project | Frosting meeting rooms x8,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002254,3084526314,LON53 | 9th Floor | Resecure Foam Panels,To Schedule,Complete,YES
2026-07-28 08:35:55,PROJ0002275,3099975573,LON49 | non-slip rug mat | 1F communal rugs,Project In Progress,Complete,YES
2026-07-28 08:35:55,PROJ0002145,3065418749,LON17 | 07-101 | Sharp wallis,Quoted,Complete,YES
2026-07-28 08:35:55,RE0025659,3099975579,LON23 | Maintenance | Ground Floor | Picture,To Schedule,Complete,YES
2026-07-28 08:35:55,PROJ0002311,3103965152,LON28 | Wall Handing Grid,To Schedule,Complete,YES
2026-07-28 08:35:55,PROJ0002333,3108318234,LON40 | Projects | 1F | 01W107 | Dismantle Wardrobe,Quoted,Complete,YES
2026-07-28 08:35:55,PROJ0002230,3086558647,LON53 | 4th Floor | Raised Wooden Flooring,Quoted,Quoted,no (already changed)
2026-07-28 08:35:55,PROJ0002363,3117175428,LON33 | Community Mailroom | Wall Mirror,To Schedule,Complete,YES
2026-07-28 08:35:55,RE0023837,3042475037,LON15 | install A3 Frames with command strips,Project In Progress,Complete,YES
2026-07-28 08:35:55,PROJ0002172,2915434357,LON06  | GF | loose tiles in pantry area,Project In Progress,Complete,YES
2026-07-28 08:35:55,PROJ0002276,3099975580,LON23 | 05BW102 | Carpet replacement mtg rooms,Project In Progress,Complete,YES
2026-07-28 08:35:55,PROJ0001075,2813211692,Phase 1 - Sprinkler Remedial Work (Insurance),Project In Progress,Complete,YES
2026-07-28 08:50:17,RE0017757,2898783595,LON17- | 5th floor | Room 5A neon light is not working,Reassigned,Complete,YES
2026-07-28 09:50:16,PROJ0002253,3089768960,LON44 | Phone Booth Re-Seal,Project In Progress,Complete,YES
2026-07-28 10:35:30,PROJ0002331,3110173238,Broken Wooden Chairs- Floor: 4,Project In Progress,Complete,YES
2026-07-28 11:35:17,PROJ0002273,3090651656,30 CHURCHILL PLC | Office 03.124 reinstate pillar,Project In Progress,Complete,YES
