JL Category,Project job count,Monday Project Type (CONFIRM/EDIT — must match a board label exactly)
Signage,572,Signage
Painting and Wall Repair,559,P&D
General,268,General
Flooring,197,Flooring
Member Labor Request,188,Labour Request
Furniture,171,Furniture / Upholstery
Carpentry/Handyman,171,Carpentry
Electrical,148,Electrical
Install,140,Installation
Add On - subject to charge,136,Custom Additions/Details
Glass & Windows,131,Glazing
Doors,106,Door
Furniture/Accessories,81,Furniture / Upholstery
Plumbing,79,Plumbing
Glass,71,Glass
Lighting,68,Lighting
"Logistics (Removals, Relocations, Disposals etc.)",52,Removals / Logistics
Other,48,General
Specialist Repairs,35,Repair (Specialist)
Survey,29,Survey
Appliances,28,Appliance
Heating and Cooling (HVAC),25,HVAC
"Fire, Life, Safety",21,Fire
whiteboard,19,Whiteboard Installation
Restrooms,17,
Cleaning,13,Cleaning (Specialist)
Pest Control,13,Pest Control
Decommission,11,
Attendance,9,
Bathroom Accessory,9,
(blank category),8,
Add Ons Store,8,
Audit / Assessment,7,Audit
Water Treatment,5,
Move In & Out,4,MIMO
Access,4,
Plants,3,
Reset or Move,2,
Phone Booth,2,Phone Booths
Facilities & Amenity Information,2,
