First auto-completed,Job,Item name,Revert TO (was),Item ID,Monday link,Reverted? (y/n)
2026-07-27 12:50:15,PROJ0002221,Request #11986892 General Inquir,Quoted,3086558648,https://up-fm.monday.com/boards/5084790211/pulses/3086558648,
2026-07-27 12:50:15,PROJ0002328,LON71 | 6x Filing Cabinets Need ,Lost/Not Progressed,3110182558,https://up-fm.monday.com/boards/5084790211/pulses/3110182558,
2026-07-27 14:50:17,PROJ0001455,LON17 | 3rd | LED pantry,Project In Progress,2840404536,https://up-fm.monday.com/boards/5084790211/pulses/2840404536,
2026-07-27 16:20:19,PROJ0002354,"Wellness Rm, 7th Floor - Kitchen",Project In Progress,3100890177,https://up-fm.monday.com/boards/5084790211/pulses/3100890177,
2026-07-27 17:35:13,PROJ0001800,LON20 | 05w118 | Soundproofing b,Project In Progress,2979693120,https://up-fm.monday.com/boards/5084790211/pulses/2979693120,
2026-07-27 17:35:13,PROJ0002324,LON32| 2nd Floor | Floor Sockets,Project In Progress,3101352809,https://up-fm.monday.com/boards/5084790211/pulses/3101352809,
2026-07-28 08:35:55,PROJ0001075,Phase 1 - Sprinkler Remedial Wor,Project In Progress,2813211692,https://up-fm.monday.com/boards/5084790211/pulses/2813211692,
2026-07-28 08:35:55,PROJ0002145,LON17 | 07-101 | Sharp wallis,Quoted,3065418749,https://up-fm.monday.com/boards/5084790211/pulses/3065418749,
2026-07-28 08:35:55,PROJ0002172,LON06  | GF | loose tiles in pan,Project In Progress,2915434357,https://up-fm.monday.com/boards/5084790211/pulses/2915434357,
2026-07-28 08:35:55,PROJ0002276,LON23 | 05BW102 | Carpet replace,Project In Progress,3099975580,https://up-fm.monday.com/boards/5084790211/pulses/3099975580,
2026-07-28 08:35:55,PROJ0002309,LON31 | Desk Assembly and transf,Quoted,3103965070,https://up-fm.monday.com/boards/5084790211/pulses/3103965070,
2026-07-28 08:35:55,PROJ0002312,LON40 | Projects | 2nd Floor | 0,To Schedule,3103965157,https://up-fm.monday.com/boards/5084790211/pulses/3103965157,
2026-07-28 08:35:55,PROJ0002333,LON40 | Projects | 1st Floor | 0,Quoted,3108318234,https://up-fm.monday.com/boards/5084790211/pulses/3108318234,
2026-07-28 08:35:55,PROJ0002337,LON44 | Project | Frosting meeti,Quoted,3110173235,https://up-fm.monday.com/boards/5084790211/pulses/3110173235,
2026-07-28 08:35:55,PROJ0002348,LON11 | Member Paid Job | 3.069,Quoted,3110182557,https://up-fm.monday.com/boards/5084790211/pulses/3110182557,
2026-07-28 08:35:55,PROJ0002363,LON33 | Community Mailroom | Wal,To Schedule,3117175428,https://up-fm.monday.com/boards/5084790211/pulses/3117175428,
2026-07-28 08:35:55,RE0023762,LON85 | Sub Basement | Bike Stor,Quoted,3101322162,https://up-fm.monday.com/boards/5084790211/pulses/3101322162,
2026-07-28 08:35:55,RE0023837,LON15 | install A3 Frames with c,Project In Progress,3042475037,https://up-fm.monday.com/boards/5084790211/pulses/3042475037,
2026-07-28 08:50:17,RE0017757,LON17- | 5th floor | Room 5A neo,Reassigned,2898783595,https://up-fm.monday.com/boards/5084790211/pulses/2898783595,
2026-07-28 09:50:16,PROJ0002253,LON44 | Phone Booth Re-Seal,Project In Progress,3089768960,https://up-fm.monday.com/boards/5084790211/pulses/3089768960,
2026-07-28 10:35:30,PROJ0002331,Broken Wooden Chairs- Floor: 4 O,Project In Progress,3110173238,https://up-fm.monday.com/boards/5084790211/pulses/3110173238,
2026-07-28 11:35:17,PROJ0002273,30 CHURCHILL PLC | Office 03.124,Project In Progress,3090651656,https://up-fm.monday.com/boards/5084790211/pulses/3090651656,
2026-07-29 09:21:41,PROJ0002302,LON11 | 4.001 | WeWork paid | 21,Quoted,3103965289,https://up-fm.monday.com/boards/5084790211/pulses/3103965289,
2026-07-30 10:20:21,RE0025753,LON12 | LG-01 | Toilet Bowl Leak,Assigned,3103965184,https://up-fm.monday.com/boards/5084790211/pulses/3103965184,
